Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"McKinstry, Zach",67.2,6.7,0.136,22.53201958
"Iglesias, Jose",69.7,6.8,0.133,23.88322775
"Campusano, Luis",69.2,7.6,0.150,21.06371516
"Garver, Mitch",71.2,7.3,0.140,23.21525742
"Torkelson, Spencer",73.6,7.5,0.139,24.14519637
"Vázquez, Christian",68.3,7,0.140,22.27818181
"Rengifo, Luis",69.7,7.2,0.141,22.55638176
"Bichette, Bo",70.4,7.3,0.141,22.6964971
"Wade Jr., LaMonte",72.4,6.8,0.128,25.76941718
"Singleton, Jon",72.1,7.1,0.134,24.47645723
"Newman, Kevin",67.6,6.7,0.135,22.80105624
"Friedl Jr., TJ",70.5,6.8,0.132,24.4346261
"Vargas, Ildemaro",69.6,7.2,0.141,22.491704
"O'Neill, Tyler",75.2,7.6,0.138,24.87473516
"Haniger, Mitch",72.9,7.1,0.133,25.02263751
"Jiménez, Eloy",73.9,7.2,0.133,25.35670143
"Toglia, Michael",73.2,7.5,0.140,23.88346176
"Moreno, Gabriel",70.7,7,0.135,23.8713601
"Marte, Starling",72.4,7.3,0.137,24.0043886
"Brown, Seth",73.3,7.2,0.134,24.94662676
"Larnach, Trevor",72.8,7.4,0.139,23.9423853
"Marsh, Brandon",71.9,7.2,0.137,24.00278643
"Raley, Luke",75,7.2,0.131,26.1171875
"Nootbaar, Lars",72.6,6.8,0.128,25.91198629
"Amaya, Miguel",72.9,7.2,0.135,24.67510088
"Rizzo, Anthony",68.5,6.8,0.135,23.06792904
"Joe, Connor",72.1,7.4,0.140,23.48416842
"Sosa, Lenyn",71.7,7.4,0.141,23.22431793
"Fermin, Freddy",70.8,7.5,0.144,22.34300736
"Fortes, Nick",71.3,7.1,0.136,23.93630376
"Moniak, Mickey",73.1,7.7,0.144,23.1995951
